Release Date,Title,Genre,With,Runtime,Link,Distributor,Scale
"June 19, 2026",Maddie's Secret,"Comedy
    
        Drama","John Early, Kip Reynolds, Neil Wachs, Harris Mayersohn",N/A,https://pro.imdb.com/title/tt37675037?ref_=mojo_rs_table_25&rf=mojo_rs_table_25,Magnolia Pictures,Limited
"June 19, 2026",O Horizon,"Comedy
    
        Drama
    
        Romance
    
        Sci-Fi","Maria Bakalova, David Strathairn, Adam Pally, Maggie Grace",N/A,https://pro.imdb.com/title/tt25971256?ref_=mojo_rs_table_26&rf=mojo_rs_table_26,Variance Films,Wide
"June 19, 2026",The Death of Robin Hood,"Action
    
        Adventure
    
        Drama","Hugh Jackman, Jodie Comer, Bill Skarsgård, Jade Croot",N/A,https://pro.imdb.com/title/tt32273171?ref_=mojo_rs_table_27&rf=mojo_rs_table_27,A24,Wide
"June 19, 2026",Leviticus,"Horror
    
        Romance
    
        Sci-Fi
    
        Thriller","Joe Bird, Stacy Clausen, Jeremy Blewitt, Ewen Leslie",N/A,https://pro.imdb.com/title/tt39143902?ref_=mojo_rs_table_28&rf=mojo_rs_table_28,Neon,Limited
"June 20, 2026",Dead Souls,"Drama
    
        Western","Alex Cox, Zander Schloss, Merritt Crocker, Maria Robles",N/A,https://pro.imdb.com/title/tt34142731?ref_=mojo_rs_table_29&rf=mojo_rs_table_29,Kino Lorber,Limited
"June 21, 2026",Ocean's Eleven,"Crime
    
        Thriller","George Clooney, Brad Pitt, Julia Roberts, Matt Damon",N/A,https://pro.imdb.com/title/tt0240772?ref_=mojo_rs_table_30&rf=mojo_rs_table_30,-,Limited
"June 21, 2026",Revolutionary Girl Utena: The Adolescence of Utena,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Fantasy
    
        Romance","Tomoko Kawakami, Yuriko Fuchizaki, Aya Hisakawa, Kotono Mitsuishi",N/A,https://pro.imdb.com/title/tt0243558?ref_=mojo_rs_table_31&rf=mojo_rs_table_31,GKIDS,Limited
"June 26, 2026",Sugar Beach,"Drama
    
        Romance","Megan Lawless, Kelli Garner, Michael Landes, Alyshia Ochse",N/A,https://pro.imdb.com/title/tt14451086?ref_=mojo_rs_table_32&rf=mojo_rs_table_32,Seismic Releasing,Limited
"June 26, 2026",Couture,Drama,"Angelina Jolie, Anyier Anei, Ella Rumpf, Louis Garrel",N/A,https://pro.imdb.com/title/tt34688195?ref_=mojo_rs_table_33&rf=mojo_rs_table_33,Vertical Entertainment,Wide
"June 26, 2026",The Invite,"Comedy
    
        Drama
    
        Romance","Seth Rogen, Olivia Wilde, Penélope Cruz, Edward Norton",N/A,https://pro.imdb.com/title/tt14173636?ref_=mojo_rs_table_34&rf=mojo_rs_table_34,A24,Limited
"June 26, 2026",Bouchra,"Animation
    
        Drama","Ariana Faye Allensworth, Fayçal Azizi, Orian Yani Barki, Yto Barrada",N/A,https://pro.imdb.com/title/tt36543744?ref_=mojo_rs_table_35&rf=mojo_rs_table_35,N/A,Limited
"June 26, 2026",Jackass: Best and Last,"Comedy
    
        Documentary","Johnny Knoxville, Spike Jonze, Bam Margera, Steve-O",N/A,https://pro.imdb.com/title/tt39316472?ref_=mojo_rs_table_36&rf=mojo_rs_table_36,Paramount Pictures,Wide
"June 26, 2026",Supergirl,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi","Milly Alcock, Jason Momoa, David Corenswet, David Krumholtz",N/A,https://pro.imdb.com/title/tt8814476?ref_=mojo_rs_table_37&rf=mojo_rs_table_37,Warner Bros.,Wide
"June 26, 2026",Drunken Noodles,"Drama
    
        Romance","Laith Khalifeh, Joel Isaac, Ezriel Kornel, Celine Costa",N/A,https://pro.imdb.com/title/tt36510056?ref_=mojo_rs_table_38&rf=mojo_rs_table_38,Strand Releasing,Limited
"June 26, 2026",The Get Out,"Action
    
        Thriller","Russell Crowe, Luke Evans, Teresa Palmer, Aaron Paul",N/A,https://pro.imdb.com/title/tt32321803?ref_=mojo_rs_table_39&rf=mojo_rs_table_39,-,Limited
"June 26, 2026",Jacked,Thriller,"Marla Robison, Tom Koch, Anthony Cipriani, Wynn Reichert",N/A,https://pro.imdb.com/title/tt36319094?ref_=mojo_rs_table_40&rf=mojo_rs_table_40,Indican Pictures,Limited
"June 26, 2026",Welcome to the Jungle,"Action
    
        Adventure
    
        Comedy
    
        Crime","Akshay Kumar, Disha Patani, Jacqueline Fernandez, Urvashi Rautela",N/A,https://pro.imdb.com/title/tt28540171?ref_=mojo_rs_table_41&rf=mojo_rs_table_41,N/A,Limited
"July 1, 2026",Minions & Monsters,"Adventure
    
        Animation
    
        Comedy
    
        Crime
    
        Family
    
        Sci-Fi","Bobby Moynihan, Zoey Deutch, Allison Janney, Christoph Waltz",N/A,https://pro.imdb.com/title/tt32890033?ref_=mojo_rs_table_42&rf=mojo_rs_table_42,Universal Pictures,Wide
